,Easting,Northing,Salazones amphora_ct,Salazones amphora_wt
586,533378.34,4386030.58,0.0,0.0
587,533365.87,4386036.51,0.0,0.0
588,533354.34,4386044.12,0.0,0.0
589,533342.13,4386049.4,0.0,0.0
590,533329.31,4386056.33,0.0,0.0
591,533318.47,4386061.84,0.0,0.0
592,533307.9,4386065.9,0.0,0.0
593,533314.58,4386048.17,0.0,0.0
594,533366.11,4386199.33,0.0,0.0
595,533378.13,4386199.49,0.0,0.0
596,533387.76,4386194.99,0.0,0.0
597,533395.09,4386188.03,0.0,0.0
598,533401.45,4386184.28,0.0,0.0
599,533412.82,4386176.78,0.0,0.0
600,533424.01,4386167.95,0.0,0.0
601,533432.52,4386165.88,0.0,0.0
602,533441.21,4386160.03,0.0,0.0
603,533449.94,4386147.09,0.0,0.0
604,533454.92,4386144.56,0.0,0.0
605,533470.05,4386139.29,0.0,0.0
606,533478.4,4386135.0,0.0,0.0
607,533487.87,4386127.5,0.0,0.0
608,533498.19,4386122.1,0.0,0.0
609,533506.64,4386114.81,0.0,0.0
610,533517.23,4386106.43,0.0,0.0
611,533525.67,4386098.8,0.0,0.0
612,533534.72,4386091.52,0.0,0.0
613,533541.72,4386079.34,0.0,0.0
614,533428.69,4385978.63,0.0,0.0
615,533417.43,4385983.69,0.0,0.0
616,533406.49,4385991.52,0.0,0.0
617,533396.26,4385995.58,0.0,0.0
618,533386.88,4386001.98,0.0,0.0
619,533376.89,4386010.7,0.0,0.0
620,533367.17,4386015.21,0.0,0.0
621,533355.81,4386021.16,0.0,0.0
622,533342.81,4386029.87,0.0,0.0
623,533335.94,4386150.26,0.0,0.0
624,533341.6,4386151.28,0.0,0.0
625,533352.79,4386143.78,0.0,0.0
626,533361.92,4386137.16,0.0,0.0
627,533372.24,4386132.77,0.0,0.0
628,533384.71,4386127.16,0.0,0.0
629,533393.67,4386118.88,0.0,0.0
630,533401.68,4386111.25,0.0,0.0
631,533412.61,4386105.42,0.0,0.0
632,533419.66,4386102.67,0.0,0.0
633,533431.88,4386095.84,0.0,0.0
634,533443.4,4386090.57,0.0,0.0
635,533455.01,4386084.74,0.0,0.0
636,533470.5,4386076.37,0.0,0.0
637,533483.99,4386071.77,0.0,0.0
638,533492.56,4386056.6,0.0,0.0
639,533508.11,4386051.12,0.0,0.0
640,533483.82,4386031.48,0.0,0.0
641,533469.31,4386033.86,0.0,0.0
642,533460.19,4386039.92,0.0,0.0
643,533441.78,4386049.72,0.0,0.0
644,533426.47,4386056.53,0.0,0.0
645,533412.02,4386064.35,0.0,0.0
646,533399.36,4386072.73,0.0,0.0
